IMR,DISTRICT,FD,STATE,FS,POPULATION,BCG,DPT_1,DPT_2,DPT_3,PENTA_1,PENTA_2,PENTA_3,OPV_0,OPV_1,OPV_2,OPV_3,HEP_B0,HEP_B1,HEP_B2,HEP_B3,MEAS_1,MEAS_2,JE_1,M_FI_9_11,F_FI_9_11,T_FI_9_11,DPT_1B,OPV_B,MMR_V,DPT5_2B,TT_10,TT_16,AEFI_A,AEFI_D,AEFI_O,IS_P,IS_H,IS_ASHA,JE_16M,dropout_gap_percent,asha_efficiency_ratio,IMR_TARGET,IMR_TARGET_NUM
HIGH,Srikakulam,NPD,ANDHRA PRADESH OLD,NHF,2699471,45370.0,13721,14845,15776,29345,29414,29068,42948,42672,44046,44420,27105.0,14141,15152,16083,33298,26678,155,21314,20134,41449,68229,38205,749,33832,36843,40522,11,1,4,33841,33814,31718,9,8.642274630813313,11.74970948011666,HIGH,1
HIGH,Vishakapatnam,PD,ANDHRA PRADESH OLD,NHF,4288113,65974.0,16321,17564,19540,43567,43025,43840,57552,57904,58909,61617,45032.5,16912,17667,19616,47477,28458,394,32916,31120,64036,55770,55726,3232,51241,53139,53086,29,1,43,42497,41973,40914,18,2.9375208415436385,9.541259756914055,HIGH,1
HIGH,Vizianagaram,PD,ANDHRA PRADESH OLD,NHF,2342868,39203.75,13253,14002,14721,25876,25699,25167,30761,37958,38568,38757,26676.0,12978,14150,14805,33186,22939,307,18997,17893,36890,34968,34974,907,33983,40994,40929,0,0,0,42177,41774,35677,17,5.901858878296081,15.2279172364811,HIGH,1
HIGH,West Godavari,NPD,ANDHRA PRADESH OLD,NHF,3934782,68957.5,20079,21003,22308,38588,38377,38682,58861,58062,58895,60478,46150.25,22592,21024,22120,45464,36513,300,35689,34017,69706,53875,53853,1021,54186,57250,58257,33,0,0,32612,32580,31268,187,0.0,7.946564765214438,HIGH,1
HIGH,Anjaw,NPD,ARUNACHAL PRADESH,HF,21089,147.5,118,101,96,125,109,113,72,233,201,200,21.75,81,99,93,146,56,0,58,60,119,104,101,0,33,142,177,1,0,0,304,219,145,0,19.322033898305087,6.875622362369008,HIGH,1
HIGH,Changlang,NPD,ARUNACHAL PRADESH,HF,147951,2394.75,1143,1087,1042,1447,1306,1136,1268,2539,2336,2120,888.5,1013,950,901,1562,1398,686,950,880,1831,1565,1572,0,715,652,599,0,0,0,989,981,790,1699,23.541079444618436,5.339605680259004,HIGH,1
HIGH,Dibang Valley,NPD,ARUNACHAL PRADESH,HF,7948,71.25,47,49,47,44,41,41,55,86,87,85,21.25,54,57,54,59,24,0,31,31,62,63,67,13,43,121,82,0,0,0,152,137,165,0,12.982456140350877,20.759939607448416,HIGH,1
HIGH,East Kameng,PD,ARUNACHAL PRADESH,HF,78413,904.25,697,699,715,599,541,488,817,1244,1200,1193,598.5,752,758,759,689,161,1,435,383,818,287,292,35,51,105,93,0,0,25,385,314,292,0,9.538291401714128,3.7238723170902785,HIGH,1
HIGH,East Siang,NPD,ARUNACHAL PRADESH,HF,99019,1891.5,768,768,753,876,822,763,1515,1638,1563,1514,1229.25,812,802,787,1127,990,11,646,616,1263,1092,1094,15,130,218,189,1,0,1,1286,1274,924,0,33.227597145122914,9.331542431250568,HIGH,1
HIGH,Kurung Kumey,PD,ARUNACHAL PRADESH,HF,89717,906.0,461,401,418,468,420,391,356,863,790,756,123.0,432,386,395,573,373,3,392,353,746,529,539,1,90,171,228,0,0,0,504,459,434,0,17.660044150110377,4.8374332623694505,HIGH,1
